IndicatorCode,IndicatorName,Language,Category
GOE_Q203,Lack of integration between various health services,EN,GOE
HCF_REL_ELECTRICITY,Percentage of health-care facilities with reliable electricity supply (%),EN,HCF
HIV_0000000007,"Testing and counselling facilities, reported number",EN,HIV
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",EN,HIV
HIV_0000000015,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,EN,HIV
HIV_0000000016,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,EN,HIV
HIV_0000000022,Estimated number of people eligible for antiretroviral therapy according to 2010 guidelines,EN,HIV
EMFLIMITELECTRIC900,Electric field limit at 900 MHz (V/m),EN,EMFLIMITELECTRIC900
EMFLIMITELECTRICLF,Electric field (kV/m),EN,EMFLIMITELECTRICLF
EMFLIMITPOWERDENSITY1800,Power density limit at 1800 MHz (W/m^2),EN,EMFLIMITPOWERDENSITY1800
EMFSTANDARD,Existence of standards,EN,EMFSTANDARD
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN,FINPROTECTION
HIV_0000000025,"Testing and counselling facilities, reporting period",EN,HIV
HRH_10,Number of dental technicians/assistants,EN,HRH
HRH_11,Number of health management & support workers,EN,HRH
HRH_12,Number of environment and public health workers,EN,HRH
HRH_14,Number of laboratory technicians/assistants,EN,HRH
HRH_19,Number of pharmaceutical personnel,EN,HRH
HRH_26,Physicians density (per 1000 population),EN,HRH
HRH_27,Laboratory health workers density (per 1000 population),EN,HRH
HRH_30,Other health workers density (per 1000 population),EN,HRH
HRH_31,Environmental and public health workers density (per 1000 population),EN,HRH
HRH_32,Health management & support workers density (per 1000 population),EN,HRH
HRH_46,Number of biomedical technicians,EN,HRH
HWF_0001,"Medical doctors (per 10,000)",EN,HWF
HWF_0002,Medical doctors (number),EN,HWF
HWF_0007,Nursing and midwifery personnel  (number),EN,HWF
HWF_0010,"Dentists (per 10,000)",EN,HWF
HCF_NO_ELECTRICITY,Percentage of health-care facilities with no access to any electricity supply (%),EN,HCF
HIV_0000000006,Number of people dying from HIV-related causes,EN,HIV
HIV_0000000011,Reported number of children receiving antiretroviral therapy,EN,HIV
HIV_0000000012,"Reported number of children receiving antiretroviral therapy, month and year of report",EN,HIV
HIV_0000000020,Estimated number of pregnant women living with HIV,EN,HIV
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,EN,HIV
HWF_0014,"Pharmacists  (per 10,000)",EN,HWF
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),EN,HWF
HWF_0023,Traditional and Complementary Medicine Professionals  (number),EN,HWF
fps,Demand for family planning satisfied - modern and traditional methods (%),EN,fps
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,EN,HIV
HIV_0000000024,Estimated antiretroviral therapy coverage among children,EN,HIV
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),EN,HIV
HRH_01,Number of nursing personnel,EN,HRH
HRH_02,Number of physicians,EN,HRH
HRH_03,Number of midwifery personnel,EN,HRH
HRH_04,Number of pharmacists,EN,HRH
EMFLIMITELECTRICRF,Electric field (V/m),EN,EMFLIMITELECTRICRF
EMFLIMITMAGNETIC,Magnetic flux density (microT),EN,EMFLIMITMAGNETIC
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",EN,GBD
EQ_CONDOMUSE,People who identify the use of condoms as a way to avoid AIDS (%),EN,EQ
GDO_q12x1,Existence of dementia carer support services,EN,GDO
GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services,EN,GDO
GDO_q12x1x2,Existence of dedicated resources for dementia carer support services,EN,GDO
AIR_11,Household air pollution attributable deaths,EN,AIR
AIR_13,Household air pollution attributable deaths per 100'000 capita,EN,AIR
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years,EN,AIR
HRH_08,Number of radiographers,EN,HRH
HRH_09,Number of other health workers,EN,HRH
HRH_13,Number of laboratory scientists,EN,HRH
HRH_15,Number of dentists,EN,HRH
HRH_18,Number of personal care workers,EN,HRH
AIR_17,Household air pollution attributable DALYs (per 100 000 population),EN,AIR
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,EN,AIR
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",EN,AIR
AIR_41,Ambient air pollution attributable deaths,EN,AIR
AIR_43,Ambient air pollution attributable DALYs,EN,AIR
HRH_33,Nursing and midwifery personnel density (per 1000 population),EN,HRH
HSS_COMPREHENSIVEHEALTHPOLICY,Countries that have a comprehensive national health sector policy/ strategy/ plan with goals and targets updated within the last 5 years,EN,HSS
HWF_0004,Specialist medical practitioners (number),EN,HWF
HWF_0006,"Nursing and midwifery personnel (per 10,000)",EN,HWF
HWF_0008,Nursing personnel (number),EN,HWF
FINPROTECTION_IMP_PG_190,"Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars",EN,FINPROTECTION
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",EN,FINPROTECTION
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,EN,FINPROTECTION
GDO_q10x1x1,Availability of generic anti-dementia medication,EN,GDO
GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement,EN,GDO
HWF_0016,Pharmaceutical Technicians and Assistants  (number),EN,HWF
HWF_0021,Physiotherapists (number),EN,HWF
HWF_0022,Physiotherapy Technicians and Assistants  (number),EN,HWF
HWWS_1,Handwashing with soap after using the toilet (%),EN,HWWS
IHR01,Legislation,EN,IHR01
IHR04,Response,EN,IHR04
IHR10,Zoonosis,EN,IHR10
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,EN,IR
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,EN,IR
AIR_10,Ambient air pollution  attributable DALYs per 100'000 children under 5 years,EN,AIR
AIR_12,Household air pollution attributable deaths in children under 5 years,EN,AIR
AIR_16,Household air pollution attributable DALYs in children under 5 years,EN,AIR
AIR_3,Percentage of the total population living in cities > 100'000 inhabitants,EN,AIR
AIR_35,Joint effects of air pollution attributable deaths,EN,AIR
AIR_36,Joint effects of air pollution attributable deaths in children under 5 years,EN,AIR
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",EN,AIR
AIR_46,YLLs attributable to ambient air pollution (age-standardized),EN,AIR
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),EN,AIR
MH_12,Age-standardized suicide rates (per 100 000 population),EN,MH
MH_14,"Community residential facilities (per 100,000)",EN,MH
MH_15,"Beds in community residential facilities (per 100,000)",EN,MH
MH_19,"Mental hospital admissions (per 100,000)",EN,MH
MH_20,"Outpatient visits (per 100,000)",EN,MH
AIR_44,DALYs attributable to ambient air pollution (age-standardized),EN,AIR
MENING_1,Number of suspected meningitis deaths reported,EN,MENING
MENING_2,Number of suspected meningitis cases reported,EN,MENING
MH_10,"Mental health outpatient facilities (per 100,000)",EN,MH
MH_11,"Mental health day treatment facilities (per 100,000)",EN,MH
MH_24,"Mental health units in general hospitals admissions (per 100,000)",EN,MH
MH_25,Stand-alone policy or plan for mental health,EN,MH
MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%),EN,MH
HIV_0000000001,Estimated number of people (all ages) living with HIV,EN,HIV
HIV_0000000009,Reported number of people receiving antiretroviral therapy,EN,HIV
MH_21,"Total workforce in mental health sector (per 100,000)",EN,MH
MH_23,"Other non-specialized doctors in mental health sector (per 100,000)",EN,MH
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),EN,MH
GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia,EN,GDO
GDO_q11x2x1,Dementia nongovernmental organization equipped with office,EN,GDO
HIV_0000000026,Number of new HIV infections,EN,HIV
HRH_06,Number of community health workers,EN,HRH
HRH_07,Number of traditional birth attendants,EN,HRH
GDO_q12x2_2,Existence of psycho-social supports for dementia carers,EN,GDO
GDO_q12x2_3,Existence of respite care for dementia carers,EN,GDO
GDO_q12x2_4,Existence of information on legal rights for dementia carers,EN,GDO
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector),EN,GDO
MH_6,"Psychiatrists working in mental health sector (per 100,000)",EN,MH
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector),EN,GDO
